진료년도,시도,시군구,성별,연령군,환자수,입내원일수,요양급여비용총액
2023,서울,영등포구,남,30~39세,0,0,0
2023,서울,영등포구,남,40~49세,0,0,0
2023,서울,영등포구,남,50~59세,24,947,92449470
2023,서울,영등포구,남,60~69세,143,2215,231963570
2023,서울,영등포구,남,70~79세,467,6803,730045890
2023,서울,영등포구,남,80~89세,784,12068,1219798530
2023,서울,영등포구,남,90~99세,117,2799,272553400
2023,서울,영등포구,남,100세 이상,0,0,0
2023,서울,영등포구,여,0~9세,0,0,0
2023,서울,영등포구,여,10~19세,0,0,0
2023,서울,영등포구,여,20~29세,0,0,0
2023,서울,영등포구,여,30~39세,0,0,0
2023,서울,영등포구,여,40~49세,0,0,0
2023,서울,영등포구,여,50~59세,41,300,40740890
2023,서울,영등포구,여,60~69세,243,2352,283914810
2023,서울,영등포구,여,70~79세,863,11421,1141913530
2023,서울,영등포구,여,80~89세,1742,36127,3357250760
2023,서울,영등포구,여,90~99세,531,20894,1747148390
2023,서울,영등포구,여,100세 이상,12,204,16153290
2023,서울,용산구,남,0~9세,0,0,0
2023,서울,용산구,남,10~19세,0,0,0
2023,서울,용산구,남,20~29세,0,0,0
2023,서울,용산구,남,30~39세,0,0,0
2023,서울,용산구,남,40~49세,0,0,0
2023,서울,용산구,남,50~59세,0,0,0
2023,서울,용산구,남,60~69세,30,99,8850150
2023,서울,용산구,남,70~79세,104,370,26719190
2023,서울,용산구,남,80~89세,180,641,48132490
2023,서울,용산구,남,90~99세,36,134,8537260
2023,서울,용산구,남,100세 이상,0,0,0
2023,서울,용산구,여,0~9세,0,0,0
2023,서울,용산구,여,10~19세,0,0,0
2023,서울,용산구,여,20~29세,0,0,0
2023,서울,용산구,여,30~39세,0,0,0
2023,서울,용산구,여,40~49세,0,0,0
2023,서울,용산구,여,50~59세,0,0,0
2023,서울,용산구,여,60~69세,49,155,15407490
2023,서울,용산구,여,70~79세,176,661,57238990
2023,서울,용산구,여,80~89세,520,1930,118995270
2023,서울,용산구,여,90~99세,161,536,19339440
2023,서울,용산구,여,100세 이상,0,0,0
2023,서울,은평구,남,0~9세,0,0,0
2023,서울,은평구,남,10~19세,0,0,0
2023,서울,은평구,남,20~29세,0,0,0
2023,서울,은평구,남,30~39세,0,0,0
2023,서울,은평구,남,40~49세,0,0,0
2023,서울,은평구,남,50~59세,16,322,30939390
2023,서울,은평구,남,60~69세,102,691,69286840
2023,서울,은평구,남,70~79세,377,4500,404242320
2023,서울,은평구,남,80~89세,775,11090,1019539620
2023,서울,은평구,남,90~99세,131,1303,144504150
2023,서울,은평구,남,100세 이상,0,0,0
2023,서울,은평구,여,0~9세,0,0,0
2023,서울,은평구,여,10~19세,0,0,0
2023,서울,은평구,여,20~29세,0,0,0
2023,서울,은평구,여,30~39세,0,0,0
2023,서울,은평구,여,40~49세,0,0,0
2023,서울,은평구,여,50~59세,15,225,20481760
2023,서울,은평구,여,60~69세,161,1901,166663100
2023,서울,은평구,여,70~79세,750,10449,990600580
2023,서울,은평구,여,80~89세,1754,29806,2762384770
2023,서울,은평구,여,90~99세,525,10448,955666110
2023,서울,은평구,여,100세 이상,16,413,40241370
2023,서울,종로구,남,0~9세,0,0,0
2023,서울,종로구,남,10~19세,0,0,0
2023,서울,종로구,남,20~29세,0,0,0
2023,서울,종로구,남,30~39세,0,0,0
2023,서울,종로구,남,40~49세,10,30,2858670
2023,서울,종로구,남,50~59세,28,82,8368960
2023,서울,종로구,남,60~69세,156,488,62876390
2023,서울,종로구,남,70~79세,478,1628,242707180
2023,서울,종로구,남,80~89세,784,2880,345093800
2023,서울,종로구,남,90~99세,105,442,43930520
2023,서울,종로구,남,100세 이상,0,0,0
2023,서울,종로구,여,0~9세,0,0,0
2023,서울,종로구,여,10~19세,0,0,0
2023,서울,종로구,여,20~29세,0,0,0
2023,서울,종로구,여,30~39세,0,0,0
2023,서울,종로구,여,40~49세,12,28,7691510
2023,서울,종로구,여,50~59세,59,236,34251760
2023,서울,종로구,여,60~69세,272,891,111751460
2023,서울,종로구,여,70~79세,995,3393,442965150
2023,서울,종로구,여,80~89세,1698,6290,618327130
2023,서울,종로구,여,90~99세,356,1347,117088020
2023,서울,종로구,여,100세 이상,0,0,0
2023,서울,중구,남,0~9세,0,0,0
2023,서울,중구,남,10~19세,0,0,0
2023,서울,중구,남,20~29세,0,0,0
2023,서울,중구,남,30~39세,0,0,0
2023,서울,중구,남,40~49세,0,0,0
2023,서울,중구,남,50~59세,10,22,2660320
2023,서울,중구,남,60~69세,31,102,8246300
2023,서울,중구,남,70~79세,127,507,38886480
2023,서울,중구,남,80~89세,205,870,59875990
2023,서울,중구,남,90~99세,36,116,11122430
2023,서울,중구,남,100세 이상,0,0,0
2023,서울,중구,여,0~9세,0,0,0
2023,서울,중구,여,10~19세,0,0,0
2023,서울,중구,여,20~29세,0,0,0
2023,서울,중구,여,30~39세,0,0,0
2023,서울,중구,여,40~49세,0,0,0
2023,서울,중구,여,50~59세,0,0,0
2023,서울,중구,여,60~69세,31,113,6363850
2023,서울,중구,여,70~79세,191,706,47967230
2023,서울,중구,여,80~89세,453,1796,111256950
2023,서울,중구,여,90~99세,127,478,21540930
2023,서울,중구,여,100세 이상,0,0,0
2023,서울,송파구,남,0~9세,0,0,0
2023,서울,송파구,남,10~19세,0,0,0
2023,서울,송파구,남,20~29세,0,0,0
2023,서울,송파구,남,30~39세,0,0,0
2023,서울,송파구,남,40~49세,13,39,4478410
2023,서울,송파구,남,50~59세,25,64,11543470
2023,서울,송파구,남,60~69세,93,1094,105795820
2023,서울,송파구,남,70~79세,311,2956,286037010
2023,서울,송파구,남,80~89세,531,6630,569829510
2023,서울,송파구,남,90~99세,92,1719,149392630
2023,서울,송파구,남,100세 이상,0,0,0
2023,서울,송파구,여,0~9세,0,0,0
2023,서울,송파구,여,10~19세,0,0,0
2023,서울,송파구,여,20~29세,0,0,0
2023,서울,송파구,여,30~39세,0,0,0
2023,서울,송파구,여,40~49세,0,0,0
2023,서울,송파구,여,50~59세,40,404,33911980
2023,서울,송파구,여,60~69세,133,1631,157792050
2023,서울,송파구,여,70~79세,494,5378,519037180
2023,서울,송파구,여,80~89세,1188,25966,2249326800
2023,서울,송파구,여,90~99세,406,12023,1014504100
2023,서울,송파구,여,100세 이상,12,374,29939090
2023,서울,중랑구,남,0~9세,0,0,0
2023,서울,중랑구,남,10~19세,0,0,0
2023,서울,중랑구,남,20~29세,0,0,0
2023,서울,중랑구,남,30~39세,0,0,0
2023,서울,중랑구,남,40~49세,0,0,0
2023,서울,중랑구,남,50~59세,0,0,0
2023,서울,중랑구,남,60~69세,102,1005,100126330
2023,서울,중랑구,남,70~79세,389,2173,189887840
2023,서울,중랑구,남,80~89세,616,3436,248460720
2023,서울,중랑구,남,90~99세,94,317,18033480
2023,서울,중랑구,남,100세 이상,0,0,0
2023,서울,중랑구,여,0~9세,0,0,0
2023,서울,중랑구,여,10~19세,0,0,0
2023,서울,중랑구,여,20~29세,0,0,0
2023,서울,중랑구,여,30~39세,0,0,0
2023,서울,중랑구,여,40~49세,0,0,0
2023,서울,중랑구,여,50~59세,0,0,0
2023,서울,중랑구,여,60~69세,118,996,105273900
2023,서울,중랑구,여,70~79세,565,3397,256393430
2023,서울,중랑구,여,80~89세,1330,12550,924680110
2023,서울,중랑구,여,90~99세,358,4172,278917740
2023,서울,중랑구,여,100세 이상,15,75,1010540
2023,서울,양천구,남,0~9세,0,0,0
2023,서울,양천구,남,10~19세,0,0,0
2023,서울,양천구,남,20~29세,0,0,0
2023,서울,양천구,남,30~39세,0,0,0
2023,서울,양천구,남,40~49세,0,0,0
2023,서울,양천구,남,50~59세,10,34,1969960
2023,서울,양천구,남,60~69세,60,1202,124544200
2023,서울,양천구,남,70~79세,261,1899,180122970
2023,서울,양천구,남,80~89세,456,3424,349281920
2023,서울,양천구,남,90~99세,91,539,51301640
2023,서울,양천구,남,100세 이상,0,0,0
2023,서울,양천구,여,0~9세,0,0,0
2023,서울,양천구,여,10~19세,0,0,0
2023,서울,양천구,여,20~29세,0,0,0
2023,서울,양천구,여,30~39세,0,0,0
2023,서울,양천구,여,40~49세,0,0,0
2023,서울,양천구,여,50~59세,0,0,0
2023,서울,양천구,여,60~69세,87,461,71762040
2023,서울,양천구,여,70~79세,479,4697,507190530
2023,서울,양천구,여,80~89세,1148,13265,1195128800
2023,서울,양천구,여,90~99세,349,5522,448024940
2023,서울,양천구,여,100세 이상,0,0,0
2023,서울,서초구,남,0~9세,0,0,0
2023,서울,서초구,남,10~19세,0,0,0
2023,서울,서초구,남,20~29세,0,0,0
2023,서울,서초구,남,30~39세,0,0,0
2023,서울,서초구,남,40~49세,0,0,0
2023,서울,서초구,남,50~59세,33,77,8112440
2023,서울,서초구,남,60~69세,101,364,51138710
2023,서울,서초구,남,70~79세,352,2431,277089170
2023,서울,서초구,남,80~89세,608,7795,776960890
